crid,incident_date,x,y,xy
1079254,2016-02-13T14:30:00Z,-87.765237,41.973395000000004,POINT(-87.765237 41.973395)
1079256,2016-02-13T14:30:00Z,-87.765237,41.973395000000004,POINT(-87.765237 41.973395)
1079225,2016-02-12T08:54:00Z,-87.72274399999999,41.899944,POINT(-87.722744 41.899944)
1079223,2016-02-11T23:00:00Z,-87.65106999999999,41.909938000000004,POINT(-87.65107 41.909938)
1079224,2016-02-11T23:00:00Z,-87.65106999999999,41.909938000000004,POINT(-87.65107 41.909938)
1079240,2016-02-11T18:30:00Z,-87.693014,41.979539,POINT(-87.693014 41.979539)
1079853,2016-02-11T00:00:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1079220,2016-02-10T12:00:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1079202,2016-02-10T09:45:00Z,-87.7083078378,41.696980387800004,POINT(-87.7083078378 41.6969803878)
1079208,2016-02-10T00:00:00Z,-87.6244,41.8756,POINT(-87.6244 41.8756)
1079167,2016-02-06T23:11:00Z,-87.597039,41.795136,POINT(-87.597039 41.795136)
1079166,2016-02-06T20:25:00Z,-87.68948,41.939455,POINT(-87.68948 41.939455)
1079163,2016-02-06T16:20:00Z,-87.680318,41.86741,POINT(-87.680318 41.86741)
1079153,2016-02-06T06:17:00Z,-87.627502,41.858093,POINT(-87.627502 41.858093)
1079135,2016-02-05T05:15:00Z,-87.68948,41.939455,POINT(-87.68948 41.939455)
1079133,2016-02-05T00:00:00Z,-87.6244,41.8756,POINT(-87.6244 41.8756)
1079110,2016-02-02T22:40:00Z,-87.680318,41.86741,POINT(-87.680318 41.86741)
1079109,2016-02-02T18:28:00Z,-87.704572,41.917146,POINT(-87.704572 41.917146)
1079182,2016-02-02T09:00:00Z,-87.693014,41.979539,POINT(-87.693014 41.979539)
1079088,2016-02-01T00:45:00Z,-90.535779,41.507457,POINT(-90.535779 41.507457)
1079480,2016-01-31T11:00:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1079083,2016-01-29T17:35:00Z,-87.7997549587,42.0016850229,POINT(-87.7997549587 42.0016850229)
1079910,2016-01-29T15:00:00Z,-87.630703,41.801784000000005,POINT(-87.630703 41.801784)
1079931,2016-01-29T13:30:00Z,-87.630703,41.801784000000005,POINT(-87.630703 41.801784)
1079051,2016-01-29T08:26:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1079059,2016-01-29T00:00:00Z,-87.6244,41.8756,POINT(-87.6244 41.8756)
1079062,2016-01-26T09:45:00Z,-87.66083499999999,41.779651,POINT(-87.660835 41.779651)
1079040,2016-01-25T15:10:00Z,-87.710775,41.868189,POINT(-87.710775 41.868189)
1079205,2016-01-25T14:08:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1078988,2016-01-25T10:00:00Z,-87.65123,41.948182,POINT(-87.65123 41.948182)
1080518,2016-01-25T00:01:00Z,-87.69537,41.8435,POINT(-87.69537 41.8435)
1078980,2016-01-23T17:15:00Z,-87.605623,41.766938,POINT(-87.605623 41.766938)
1079041,2016-01-23T16:06:00Z,-87.694778,41.822753000000006,POINT(-87.694778 41.822753)
1078967,2016-01-22T00:00:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1078971,2016-01-21T13:27:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1078945,2016-01-21T08:00:00Z,-87.64640899999999,41.837767,POINT(-87.646409 41.837767)
1078938,2016-01-20T06:51:00Z,-87.708784,41.778989,POINT(-87.708784 41.778989)
1078941,2016-01-20T05:41:00Z,-87.748251,41.953425,POINT(-87.748251 41.953425)
1078933,2016-01-19T18:30:00Z,-87.656894,41.862955,POINT(-87.656894 41.862955)
1078934,2016-01-19T18:11:00Z,-87.662654,41.742902,POINT(-87.662654 41.742902)
1078942,2016-01-19T15:00:00Z,-87.654613,41.782896,POINT(-87.654613 41.782896)
1078924,2016-01-19T14:30:00Z,-87.764648,41.918541999999995,POINT(-87.764648 41.918542)
1078948,2016-01-19T13:00:00Z,-87.659601,41.877881,POINT(-87.659601 41.877881)
1078917,2016-01-19T00:00:00Z,-87.6244,41.8756,POINT(-87.6244 41.8756)
1078907,2016-01-17T23:05:00Z,-87.567181,41.707788,POINT(-87.567181 41.707788)
1078903,2016-01-17T09:00:00Z,-87.61792700000001,41.682282,POINT(-87.617927 41.682282)
1078893,2016-01-16T11:00:00Z,-87.64640899999999,41.837767,POINT(-87.646409 41.837767)
1078908,2016-01-16T07:30:00Z,-87.630703,41.801784000000005,POINT(-87.630703 41.801784)
1078901,2016-01-16T07:00:00Z,-87.65123,41.948182,POINT(-87.65123 41.948182)
1078890,2016-01-16T05:30:00Z,-87.704735,41.873718,POINT(-87.704735 41.873718)
1078888,2016-01-16T02:55:00Z,-87.647068,41.878505,POINT(-87.647068 41.878505)
1078895,2016-01-16T00:00:00Z,-87.657839,41.888953,POINT(-87.657839 41.888953)
1078889,2016-01-15T15:40:00Z,-87.6427157336,41.8162597942,POINT(-87.6427157336 41.8162597942)
1080060,2016-01-15T00:00:00Z,-87.7997549587,42.0016850229,POINT(-87.7997549587 42.0016850229)
1078969,2016-01-13T17:00:00Z,-87.6244,41.8756,POINT(-87.6244 41.8756)
1078870,2016-01-13T13:12:00Z,-87.764648,41.918541999999995,POINT(-87.764648 41.918542)
1078849,2016-01-13T00:00:00Z,-87.6244,41.8756,POINT(-87.6244 41.8756)
1078875,2016-01-12T20:53:00Z,-87.761104,41.792767,POINT(-87.761104 41.792767)
1079482,2016-01-12T09:14:00Z,-87.710584,41.868122,POINT(-87.710584 41.868122)
1078842,2016-01-12T09:00:00Z,-87.697291,41.921240000000004,POINT(-87.697291 41.92124)
1078848,2016-01-11T21:50:00Z,-87.801197,41.993375,POINT(-87.801197 41.993375)
1078826,2016-01-11T08:00:00Z,-87.65,41.95,POINT(-87.65 41.95)
1078811,2016-01-09T12:00:00Z,-87.668627,41.691694,POINT(-87.668627 41.691694)
1079303,2016-01-09T09:30:00Z,-87.765237,41.973395000000004,POINT(-87.765237 41.973395)
1078806,2016-01-09T04:30:00Z,-87.567181,41.707788,POINT(-87.567181 41.707788)
1078807,2016-01-08T08:30:00Z,-87.65123,41.948182,POINT(-87.65123 41.948182)
1078931,2016-01-07T13:53:00Z,-87.75,42.06,POINT(-87.75 42.06)
1078855,2016-01-07T11:30:00Z,-87.710584,41.868122,POINT(-87.710584 41.868122)
1078770,2016-01-06T16:10:00Z,-87.765237,41.973395000000004,POINT(-87.765237 41.973395)
1078763,2016-01-06T10:20:00Z,-87.64640899999999,41.837767,POINT(-87.646409 41.837767)
1078754,2016-01-05T18:00:00Z,-87.680353,41.683765,POINT(-87.680353 41.683765)
1078752,2016-01-05T14:30:00Z,-87.66083499999999,41.779651,POINT(-87.660835 41.779651)
1078745,2016-01-05T13:15:00Z,-87.65123,41.948182,POINT(-87.65123 41.948182)
1078746,2016-01-05T11:30:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1078742,2016-01-05T09:00:00Z,-87.708784,41.778989,POINT(-87.708784 41.778989)
1078720,2016-01-03T04:30:00Z,-87.6372655,41.903856899999994,POINT(-87.6372655 41.9038569)
1078704,2016-01-01T17:20:00Z,-87.65123,41.948182,POINT(-87.65123 41.948182)
1078701,2016-01-01T13:50:00Z,-87.693014,41.979539,POINT(-87.693014 41.979539)
1078699,2016-01-01T12:00:00Z,-87.605623,41.766938,POINT(-87.605623 41.766938)
1080521,2016-01-01T00:00:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1080884,2016-01-01T00:00:00Z,-87.610119,41.887643,POINT(-87.610119 41.887643)
1078689,2015-12-31T19:30:00Z,-87.605623,41.766938,POINT(-87.605623 41.766938)
1078688,2015-12-31T17:30:00Z,-87.65822,41.808733000000004,POINT(-87.65822 41.808733)
1078680,2015-12-30T23:00:00Z,-87.764648,41.918541999999995,POINT(-87.764648 41.918542)
1078676,2015-12-30T19:00:00Z,-87.605623,41.766938,POINT(-87.605623 41.766938)
1078666,2015-12-30T00:00:00Z,-87.666423,41.989017,POINT(-87.666423 41.989017)
1080483,2015-12-29T12:00:00Z,-87.627502,41.858093,POINT(-87.627502 41.858093)
1078655,2015-12-29T11:00:00Z,-87.64640899999999,41.837767,POINT(-87.646409 41.837767)
1078657,2015-12-29T11:00:00Z,-87.64640899999999,41.837767,POINT(-87.646409 41.837767)
1078656,2015-12-29T11:00:00Z,-87.64640899999999,41.837767,POINT(-87.646409 41.837767)
1078654,2015-12-29T11:00:00Z,-87.64640899999999,41.837767,POINT(-87.646409 41.837767)
1078653,2015-12-29T11:00:00Z,-87.64640899999999,41.837767,POINT(-87.646409 41.837767)
1078652,2015-12-29T11:00:00Z,-87.64640899999999,41.837767,POINT(-87.646409 41.837767)
1078651,2015-12-29T11:00:00Z,-87.64640899999999,41.837767,POINT(-87.646409 41.837767)
1078650,2015-12-29T11:00:00Z,-87.64640899999999,41.837767,POINT(-87.646409 41.837767)
1078647,2015-12-29T10:52:00Z,-87.602035,41.692855,POINT(-87.602035 41.692855)
1078952,2015-12-29T02:40:00Z,-87.684253,41.936464,POINT(-87.684253 41.936464)
1078675,2015-12-29T00:00:00Z,-87.710572,41.867486,POINT(-87.710572 41.867486)
1078643,2015-12-28T19:00:00Z,-87.64640899999999,41.837767,POINT(-87.646409 41.837767)
1078635,2015-12-27T11:00:00Z,-87.704735,41.873718,POINT(-87.704735 41.873718)
1078625,2015-12-26T23:00:00Z,-87.567181,41.707788,POINT(-87.567181 41.707788)
1078624,2015-12-26T22:00:00Z,-87.764648,41.918541999999995,POINT(-87.764648 41.918542)
1078618,2015-12-26T10:00:00Z,-87.643574,41.903251000000004,POINT(-87.643574 41.903251)
1078626,2015-12-26T03:05:00Z,-87.704735,41.873718,POINT(-87.704735 41.873718)
1078608,2015-12-25T11:00:00Z,-87.668627,41.691694,POINT(-87.668627 41.691694)
1078617,2015-12-25T06:00:00Z,-87.764648,41.918541999999995,POINT(-87.764648 41.918542)
1078606,2015-12-24T21:45:00Z,-87.627502,41.858093,POINT(-87.627502 41.858093)
1078595,2015-12-24T11:31:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1078596,2015-12-24T09:00:00Z,-87.697291,41.921240000000004,POINT(-87.697291 41.92124)
1078607,2015-12-24T01:16:00Z,-87.627502,41.858093,POINT(-87.627502 41.858093)
1078582,2015-12-23T07:30:00Z,-87.644103,41.752315,POINT(-87.644103 41.752315)
1078556,2015-12-21T18:50:00Z,-87.63565,41.896007,POINT(-87.63565 41.896007)
1078541,2015-12-21T09:52:00Z,-87.605623,41.766938,POINT(-87.605623 41.766938)
1078642,2015-12-21T00:01:00Z,-87.765237,41.973395000000004,POINT(-87.765237 41.973395)
1078549,2015-12-21T00:00:00Z,-87.6244,41.8756,POINT(-87.6244 41.8756)
1078529,2015-12-20T09:00:00Z,-87.742436,41.775713,POINT(-87.742436 41.775713)
1078526,2015-12-19T23:28:00Z,-87.581725,41.725316,POINT(-87.581725 41.725316)
1078524,2015-12-19T14:45:00Z,-87.66083499999999,41.779651,POINT(-87.660835 41.779651)
1078508,2015-12-18T09:00:00Z,-87.65123,41.948182,POINT(-87.65123 41.948182)
1078513,2015-12-18T09:00:00Z,-87.633893,41.884363,POINT(-87.633893 41.884363)
1078505,2015-12-18T07:30:00Z,-87.702565,41.928038,POINT(-87.702565 41.928038)
1078538,2015-12-18T00:01:00Z,-87.76818100000001,41.879779,POINT(-87.768181 41.879779)
1078509,2015-12-18T00:00:00Z,-87.6244,41.8756,POINT(-87.6244 41.8756)
1078506,2015-12-17T09:00:00Z,-87.642843,41.880542,POINT(-87.642843 41.880542)
1078474,2015-12-16T09:20:00Z,-87.661141,41.964465000000004,POINT(-87.661141 41.964465)
1078465,2015-12-15T00:00:00Z,-87.6244,41.8756,POINT(-87.6244 41.8756)
1078456,2015-12-14T14:45:00Z,-87.66083499999999,41.779651,POINT(-87.660835 41.779651)
1078464,2015-12-14T10:20:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1078432,2015-12-13T22:00:00Z,-87.644103,41.752315,POINT(-87.644103 41.752315)
