CRID,Witness_Gender,Witness_Age,Witness_Race,FOIA_Request_Number,Report_Produced_Date
1044321,M,48.75616438356165,BLACK,FOIA 14-5509,2015-08-03
1044322,M,61.515068493150686,HISPANIC,FOIA 14-5509,2015-08-03
1044327,M,31.317808219178083,WHITE,FOIA 14-5509,2015-08-03
1044331,F,,WHITE,FOIA 14-5509,2015-08-03
1044333,M,30.449315068493153,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044335,F,31.230136986301368,BLACK,FOIA 14-5509,2015-08-03
1044337,F,35.704109589041096,BLACK,FOIA 14-5509,2015-08-03
1044339,M,51.88493150684932,BLACK,FOIA 14-5509,2015-08-03
1044340,F,60.04931506849315,BLACK,FOIA 14-5509,2015-08-03
1044341,M,58.602739726027394,BLACK,FOIA 14-5509,2015-08-03
1044342,M,,BLACK,FOIA 14-5509,2015-08-03
1044343,F,51.42191780821918,BLACK,FOIA 14-5509,2015-08-03
1044344,F,56.38356164383562,BLACK,FOIA 14-5509,2015-08-03
1044345,M,49.25479452054795,BLACK,FOIA 14-5509,2015-08-03
1044346,M,29.13972602739726,BLACK,FOIA 14-5509,2015-08-03
1044347,M,58.276712328767125,WHITE,FOIA 14-5509,2015-08-03
1044348,M,47.23835616438356,BLACK,FOIA 14-5509,2015-08-03
1044349,F,53.139726027397266,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044351,F,41.32054794520548,BLACK,FOIA 14-5509,2015-08-03
1044352,F,28.32054794520548,WHITE,FOIA 14-5509,2015-08-03
1044355,M,35.42739726027398,BLACK,FOIA 14-5509,2015-08-03
1044356,M,27.646575342465752,BLACK,FOIA 14-5509,2015-08-03
1044358,M,50.947945205479456,BLACK,FOIA 14-5509,2015-08-03
1044359,M,32.0986301369863,BLACK,FOIA 14-5509,2015-08-03
1044360,M,45.4,WHITE,FOIA 14-5509,2015-08-03
1044362,M,38.843835616438355,WHITE,FOIA 14-5509,2015-08-03
1044363,M,32.394520547945206,BLACK,FOIA 14-5509,2015-08-03
1044364,M,35.42739726027398,BLACK,FOIA 14-5509,2015-08-03
1044367,M,60.16712328767123,BLACK,FOIA 14-5509,2015-08-03
1044368,M,37.47397260273973,WHITE,FOIA 14-5509,2015-08-03
1044370,F,39.18904109589041,BLACK,FOIA 14-5509,2015-08-03
1044371,M,50.07397260273972,BLACK,FOIA 14-5509,2015-08-03
1044373,F,41.91780821917808,WHITE,FOIA 14-5509,2015-08-03
1044374,M,32.19178082191781,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044376,F,40.205479452054796,BLACK,FOIA 14-5509,2015-08-03
1044377,F,41.26849315068494,BLACK,FOIA 14-5509,2015-08-03
1044378,F,33.772602739726025,BLACK,FOIA 14-5509,2015-08-03
1044380,F,44.12054794520548,BLACK,FOIA 14-5509,2015-08-03
1044381,M,43.12602739726028,BLACK,FOIA 14-5509,2015-08-03
1044382,M,59.202739726027396,WHITE,FOIA 14-5509,2015-08-03
1044383,F,41.40821917808219,BLACK,FOIA 14-5509,2015-08-03
1044385,F,42.56438356164384,HISPANIC,FOIA 14-5509,2015-08-03
1044386,M,46.31232876712329,WHITE,FOIA 14-5509,2015-08-03
1044388,M,34.46301369863014,BLACK,FOIA 14-5509,2015-08-03
1044389,M,50.657534246575345,BLACK,FOIA 14-5509,2015-08-03
1044393,M,61.81917808219178,WHITE,FOIA 14-5509,2015-08-03
1044396,M,52.96164383561644,BLACK,FOIA 14-5509,2015-08-03
1044400,M,50.88219178082193,HISPANIC,FOIA 14-5509,2015-08-03
1044401,F,26.232876712328768,WHITE,FOIA 14-5509,2015-08-03
1044403,M,35.99178082191781,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044404,F,43,WHITE,FOIA 14-5509,2015-08-03
1044407,F,43.04383561643836,WHITE,FOIA 14-5509,2015-08-03
1044410,F,29.471232876712328,BLACK,FOIA 14-5509,2015-08-03
1044411,M,28.94246575342466,BLACK,FOIA 14-5509,2015-08-03
1044413,M,44.46301369863014,WHITE,FOIA 14-5509,2015-08-03
1044415,M,49.134246575342466,WHITE,FOIA 14-5509,2015-08-03
1044419,M,25.101369863013698,BLACK,FOIA 14-5509,2015-08-03
1044421,F,40.78904109589041,BLACK,FOIA 14-5509,2015-08-03
1044424,M,58.276712328767125,WHITE,FOIA 14-5509,2015-08-03
1044425,M,40.4027397260274,BLACK,FOIA 14-5509,2015-08-03
1044426,F,61.019178082191786,BLACK,FOIA 14-5509,2015-08-03
1044427,F,38.53424657534247,BLACK,FOIA 14-5509,2015-08-03
1044431,F,39.016438356164386,WHITE,FOIA 14-5509,2015-08-03
1044432,M,45.556164383561644,WHITE,FOIA 14-5509,2015-08-03
1044435,M,,BLACK,FOIA 14-5509,2015-08-03
1044437,M,29.81917808219178,WHITE,FOIA 14-5509,2015-08-03
1044442,M,44.45205479452055,WHITE,FOIA 14-5509,2015-08-03
1044442,M,33.68767123287672,BLACK,FOIA 14-5509,2015-08-03
1044444,M,57.676712328767124,BLACK,FOIA 14-5509,2015-08-03
1044448,M,40.46849315068493,WHITE,FOIA 14-5509,2015-08-03
1044449,M,37.25753424657534,ASIAN/PACIFIC ISLANDER,FOIA 14-5509,2015-08-03
1044450,M,34.295890410958904,BLACK,FOIA 14-5509,2015-08-03
1044451,F,76.55342465753425,WHITE,FOIA 14-5509,2015-08-03
1044452,F,51.22191780821918,BLACK,FOIA 14-5509,2015-08-03
1044454,F,36.44109589041096,BLACK,FOIA 14-5509,2015-08-03
1044456,M,,WHITE,FOIA 14-5509,2015-08-03
1044459,F,24.389041095890413,BLACK,FOIA 14-5509,2015-08-03
1044460,M,53.38630136986301,WHITE,FOIA 14-5509,2015-08-03
1044463,F,56.37808219178083,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044464,F,57.98356164383562,BLACK,FOIA 14-5509,2015-08-03
1044465,F,42.56438356164384,HISPANIC,FOIA 14-5509,2015-08-03
1044469,F,37.97534246575343,BLACK,FOIA 14-5509,2015-08-03
1044471,F,39.657534246575345,BLACK,FOIA 14-5509,2015-08-03
1044472,F,35.53424657534247,BLACK,FOIA 14-5509,2015-08-03
1044473,M,50.8054794520548,BLACK,FOIA 14-5509,2015-08-03
1044475,M,35.12054794520548,WHITE,FOIA 14-5509,2015-08-03
1044476,M,44.14246575342466,BLACK,FOIA 14-5509,2015-08-03
1044477,M,28.117808219178084,BLACK,FOIA 14-5509,2015-08-03
1044482,F,50.6,WHITE,FOIA 14-5509,2015-08-03
1044485,M,24.53150684931507,BLACK,FOIA 14-5509,2015-08-03
1044488,F,48.54794520547946,WHITE,FOIA 14-5509,2015-08-03
1044490,M,44.18356164383562,BLACK,FOIA 14-5509,2015-08-03
1044491,F,42.8109589041096,BLACK,FOIA 14-5509,2015-08-03
1044492,F,,UNKNOWN,FOIA 14-5509,2015-08-03
1044493,M,37.890410958904106,WHITE,FOIA 14-5509,2015-08-03
1044495,M,49.98904109589041,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044497,F,82.26027397260273,BLACK,FOIA 14-5509,2015-08-03
1044498,F,51.369863013698634,BLACK,FOIA 14-5509,2015-08-03
1044499,F,61.202739726027396,BLACK,FOIA 14-5509,2015-08-03
1044501,M,35.898630136986306,BLACK,FOIA 14-5509,2015-08-03
1044503,F,34.23561643835617,BLACK,FOIA 14-5509,2015-08-03
