Officer_Last_Name,Officer_First_Name,Star,Officer_Description,FOIA_Request_Number,Report_Produced_Date
SANDOVAL,PAUL,3927,POLICE AIDE,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BERAN,TIMOTHY,19651,PO/EXP DET CAN HAND,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MUHAMMAD,EMANUEL,10275,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PANICO,MICHAEL,5226,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
OLSEN,DONALD,5708,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
RULE,MICHAEL,6463,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GREGOIRE,JOHN,8600,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MIUCIN,ZORAN,18966,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ORTIZ-CLAUDIO,SUSIE,18551,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PEREZ,JOSEPH,10546,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SMITH,ANGELINA,3040,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HUTCHINSON,CLAYTON,19825,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SAMPIM,SAHARAT,19641,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MC CRAY,DAVID,18508,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PACINO,ANTHONY,19731,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PITTMAN,RONALD,19275,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ELLITCH,RAYMOND,14180,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MATLOB,KENNETH,18807,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SMITH,MARTIN,18518,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ZARBOCK,NICK,18904,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
JERRY,DERRICK,10128,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HOZZIAN,JOANNE,16720,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HARVEY,GARRICK,12639,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
TERESI,MARTIN,11254,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MENDOZA,MARIO,8843,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BOLIN,RICHARD,14590,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CORBETT,JOSEPH,17993,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MAYHEW,MICHAEL,14138,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ROMERO,RUBEN,6340,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SANTIAGO,JUAN,5263,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CASTILLO,DIEGO,7499,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MENDOZA,MARK,15744,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
KRAMER,DANIEL,9867,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MEDENICA,BOGDAN,13522,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BARNES,GREGORY,18855,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MARTORANO,JOSEPH,7986,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
FUENTES,HECTOR,11396,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GONZALEZ,ROBERT,12152,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LICHAY,KENNETH,10871,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WOODS,JAMES,12813,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
DAHLBERG,JOHN,13788,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HUGHES,GARY,10709,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LITTLE,ELLIS,8763,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HOLLIDAY,DAVID,14827,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
COSENTINO,MICHAEL,4487,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HALEEM,MAHMOUD,14193,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WILLIAMS,CRAIG,19033,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
