crid,gender,age,race
1000801,F,50,WHITE
1000802,F,52,BLACK
1000803,M,55,ASIAN/PACIFIC ISLANDER
1000804,M,30,BLACK
1000805,F,NA,WHITE
1000806,F,39,BLACK
1000808,M,44,BLACK
1000809,M,34,BLACK
1000810,F,55,BLACK
1000811,F,NA,WHITE
1000812,M,43,BLACK
1000813,M,NA,BLACK
1000814,F,76,BLACK
1000815,M,NA,BLACK
1000817,M,46,BLACK
1000818,F,36,BLACK
1000819,F,34,BLACK
1000820,X,NA,UNKNOWN
1000821,M,NA,UNKNOWN
1000823,M,33,WHITE HISPANIC
1000824,M,43,BLACK
1000825,M,NA,UNKNOWN
1000826,F,NA,WHITE HISPANIC
1000829,M,49,BLACK HISPANIC
1000830,M,54,BLACK
1000831,M,47,WHITE HISPANIC
1000832,F,44,BLACK
1000836,M,37,WHITE HISPANIC
1000839,M,46,BLACK
1000840,M,55,WHITE
1000842,M,55,BLACK
1000844,M,39,BLACK
1000846,M,54,BLACK
1000847,M,68,WHITE
1000849,F,47,BLACK
1000850,F,56,WHITE HISPANIC
1000851,M,33,WHITE HISPANIC
1000851,M,42,WHITE HISPANIC
1000853,F,34,WHITE HISPANIC
1000854,F,30,WHITE HISPANIC
1000855,M,NA,WHITE
1000856,F,65,BLACK
1000857,F,36,BLACK
1000858,F,50,WHITE
1000859,F,61,BLACK
1000860,M,29,WHITE
1000860,F,80,WHITE
1000861,M,50,BLACK
1000862,M,30,WHITE HISPANIC
1000863,M,56,BLACK
1000864,F,68,BLACK
1000865,M,NA,BLACK
1000866,M,44,WHITE
1000867,M,52,BLACK
1000868,F,48,BLACK
1000869,M,NA,BLACK
1000870,M,55,BLACK
1000871,M,57,BLACK
1000872,F,NA,BLACK
1000873,M,65,WHITE
1000874,M,37,BLACK
1000875,M,38,BLACK
1000876,M,42,BLACK
1000878,F,50,WHITE HISPANIC
1000879,F,NA,WHITE
1000881,F,36,BLACK
1000882,M,NA,BLACK
1000883,F,38,BLACK
1000886,F,48,BLACK
1000888,M,59,BLACK
1000889,M,50,BLACK
1000890,F,47,BLACK
1000891,F,NA,BLACK
1000892,F,38,BLACK
1000893,F,37,BLACK
1000894,M,90,BLACK
1000895,M,51,WHITE HISPANIC
1000896,F,50,WHITE HISPANIC
1000897,M,34,BLACK
1000899,M,55,WHITE HISPANIC
1000900,F,80,WHITE
1000901,F,44,BLACK
1000903,M,NA,BLACK
1000903,F,65,HISPANIC
1000907,F,NA,BLACK
1000908,F,47,WHITE
1000909,M,47,BLACK
1000910,M,91,AMER IND/ALASKAN NATIVE
1000911,M,58,BLACK
1000912,M,58,BLACK
1000913,F,34,BLACK
1000914,M,NA,BLACK
1000916,M,44,BLACK
1000917,F,54,WHITE
1000919,M,71,UNKNOWN
1000920,M,49,WHITE
1000921,M,52,WHITE
1000922,M,58,WHITE HISPANIC
1000925,F,42,BLACK
1000926,M,44,BLACK
1000927,F,30,BLACK
1000928,M,66,WHITE
1000929,M,70,WHITE
1000930,F,44,BLACK
1000931,M,68,BLACK
1000932,M,44,WHITE
1000933,F,NA,BLACK
1000934,M,46,WHITE
1000936,M,41,WHITE
1000936,M,54,HISPANIC
1000938,M,NA,BLACK
1000939,M,36,BLACK
1000941,F,35,BLACK
1000942,M,30,BLACK
1000943,M,NA,BLACK
1000944,M,30,BLACK
1000945,M,51,WHITE HISPANIC
1000946,M,43,BLACK
1000947,F,35,BLACK
1000948,M,NA,BLACK
1000949,F,53,BLACK
1000950,M,39,BLACK
1000951,F,66,WHITE HISPANIC
1000952,F,47,BLACK
1000953,M,50,WHITE
1000955,F,38,BLACK
1000955,M,35,WHITE HISPANIC
1000956,F,53,BLACK
1000958,M,30,BLACK
1000959,F,47,BLACK
1000960,F,51,BLACK
1000961,F,36,BLACK
1000962,F,49,BLACK
1000964,M,36,BLACK
1000966,F,54,BLACK
1000967,M,NA,WHITE HISPANIC
1000968,F,51,BLACK
1000969,F,48,BLACK
1000970,F,57,BLACK
1000971,F,NA,BLACK
1000973,F,46,BLACK
1000974,M,64,WHITE
1000975,M,85,BLACK
1000976,M,43,BLACK
1000978,M,47,BLACK
1000979,M,62,WHITE HISPANIC
1000980,M,28,BLACK
1000981,M,50,BLACK
1000982,F,32,BLACK
1000983,F,NA,BLACK
1000984,M,56,BLACK
1000985,F,30,BLACK
1000986,F,80,BLACK
1000987,F,48,WHITE HISPANIC
1000988,F,NA,BLACK
1000989,M,55,ASIAN/PACIFIC ISLANDER
1000990,M,56,WHITE
1000991,M,44,BLACK
1000992,M,42,BLACK
1000993,F,44,WHITE
1000994,M,65,WHITE
1000995,F,NA,WHITE HISPANIC
1000996,M,45,BLACK
1000997,M,46,BLACK
1000998,M,50,BLACK
1001001,F,56,BLACK
1001002,M,43,WHITE
1001003,M,46,WHITE
1001004,M,62,WHITE
1001005,M,62,WHITE
1001008,M,NA,UNKNOWN
1001009,M,43,BLACK
1001010,F,30,WHITE
