Original_Dataset,Output_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
../input/FOIA Updated CPD Data-2002-2007.xls-2007,salary.csv,Employee.Status,14111,5,object
../input/FOIA Updated CPD Data-2008-2012.xls-2008,salary.csv,Last.Name,13789,7240,object
../input/FOIA Updated CPD Data-2008-2012.xls-2008,salary.csv,First.Name,13789,2444,object
../input/FOIA Updated CPD Data-2008-2012.xls-2008,salary.csv,Middle.Initial,11132,27,object
../input/FOIA Updated CPD Data-2008-2012.xls-2008,salary.csv,Gender,13789,2,object
../input/FOIA Updated CPD Data-2008-2012.xls-2008,salary.csv,Age.at.Hire,13625,41,float64
../input/FOIA Updated CPD Data-2008-2012.xls-2008,salary.csv,Title,13789,35,object
../input/FOIA Updated CPD Data-2008-2012.xls-2008,salary.csv,Start.Date,13625,395,datetime64[ns]
../input/FOIA Updated CPD Data-2008-2012.xls-2008,salary.csv,SPP.Date,10590,346,datetime64[ns]
../input/FOIA Updated CPD Data-2008-2012.xls-2008,salary.csv,Org.Hire.Date,13788,802,datetime64[ns]
../input/FOIA Updated CPD Data-2008-2012.xls-2008,salary.csv,Salary,13789,51,int64
../input/FOIA Updated CPD Data-2008-2012.xls-2008,salary.csv,Pay.Grade,13789,16,object
../input/FOIA Updated CPD Data-2008-2012.xls-2008,salary.csv,Employee.Status,13789,5,object
../input/FOIA Updated CPD Data-2008-2012.xls-2009,salary.csv,Last.Name,13278,7097,object
../input/FOIA Updated CPD Data-2008-2012.xls-2009,salary.csv,First.Name,13278,2428,object
../input/FOIA Updated CPD Data-2008-2012.xls-2009,salary.csv,Middle.Initial,10716,27,object
../input/FOIA Updated CPD Data-2008-2012.xls-2009,salary.csv,Gender,13278,2,object
../input/FOIA Updated CPD Data-2008-2012.xls-2009,salary.csv,Age.at.Hire,13134,39,float64
../input/FOIA Updated CPD Data-2008-2012.xls-2009,salary.csv,Title,13278,34,object
../input/FOIA Updated CPD Data-2008-2012.xls-2009,salary.csv,Start.Date,13134,364,datetime64[ns]
../input/FOIA Updated CPD Data-2008-2012.xls-2009,salary.csv,SPP.Date,10139,324,datetime64[ns]
../input/FOIA Updated CPD Data-2008-2012.xls-2009,salary.csv,Org.Hire.Date,13277,759,datetime64[ns]
../input/FOIA Updated CPD Data-2008-2012.xls-2009,salary.csv,Salary,13278,45,int64
../input/FOIA Updated CPD Data-2008-2012.xls-2009,salary.csv,Pay.Grade,13278,15,object
../input/FOIA Updated CPD Data-2008-2012.xls-2009,salary.csv,Employee.Status,13278,5,object
../input/FOIA Updated CPD Data-2008-2012.xls-2010,salary.csv,Last.Name,13133,7027,object
../input/FOIA Updated CPD Data-2008-2012.xls-2010,salary.csv,First.Name,13133,2420,object
../input/FOIA Updated CPD Data-2008-2012.xls-2010,salary.csv,Middle.Initial,10596,27,object
../input/FOIA Updated CPD Data-2008-2012.xls-2010,salary.csv,Gender,13133,2,object
../input/FOIA Updated CPD Data-2008-2012.xls-2010,salary.csv,Age.at.Hire,12995,39,float64
../input/FOIA Updated CPD Data-2008-2012.xls-2010,salary.csv,Title,13133,33,object
../input/FOIA Updated CPD Data-2008-2012.xls-2010,salary.csv,Start.Date,12995,353,datetime64[ns]
../input/FOIA Updated CPD Data-2008-2012.xls-2010,salary.csv,SPP.Date,10076,320,datetime64[ns]
../input/FOIA Updated CPD Data-2008-2012.xls-2010,salary.csv,Org.Hire.Date,13133,727,datetime64[ns]
../input/FOIA Updated CPD Data-2008-2012.xls-2010,salary.csv,Salary,13133,45,int64
../input/FOIA Updated CPD Data-2008-2012.xls-2010,salary.csv,Pay.Grade,13133,15,object
../input/FOIA Updated CPD Data-2008-2012.xls-2010,salary.csv,Employee.Status,13133,5,object
../input/FOIA Updated CPD Data-2008-2012.xls-2011,salary.csv,Last.Name,12613,6810,object
../input/FOIA Updated CPD Data-2008-2012.xls-2011,salary.csv,First.Name,12613,2386,object
../input/FOIA Updated CPD Data-2008-2012.xls-2011,salary.csv,Middle.Initial,10160,27,object
../input/FOIA Updated CPD Data-2008-2012.xls-2011,salary.csv,Gender,12613,2,object
../input/FOIA Updated CPD Data-2008-2012.xls-2011,salary.csv,Age.at.Hire,12490,37,float64
../input/FOIA Updated CPD Data-2008-2012.xls-2011,salary.csv,Title,12613,32,object
../input/FOIA Updated CPD Data-2008-2012.xls-2011,salary.csv,Start.Date,12490,309,datetime64[ns]
../input/FOIA Updated CPD Data-2008-2012.xls-2011,salary.csv,SPP.Date,9762,292,datetime64[ns]
../input/FOIA Updated CPD Data-2008-2012.xls-2011,salary.csv,Org.Hire.Date,12613,673,datetime64[ns]
../input/FOIA Updated CPD Data-2008-2012.xls-2011,salary.csv,Salary,12613,41,int64
../input/FOIA Updated CPD Data-2008-2012.xls-2011,salary.csv,Pay.Grade,12613,15,object
../input/FOIA Updated CPD Data-2008-2012.xls-2011,salary.csv,Employee.Status,12613,5,object
../input/FOIA Updated CPD Data-2008-2012.xls-2012,salary.csv,Last.Name,12631,6793,object
../input/FOIA Updated CPD Data-2008-2012.xls-2012,salary.csv,First.Name,12631,2408,object
../input/FOIA Updated CPD Data-2008-2012.xls-2012,salary.csv,Middle.Initial,9868,27,object
../input/FOIA Updated CPD Data-2008-2012.xls-2012,salary.csv,Gender,12631,2,object
../input/FOIA Updated CPD Data-2008-2012.xls-2012,salary.csv,Age.at.Hire,12529,36,float64
../input/FOIA Updated CPD Data-2008-2012.xls-2012,salary.csv,Title,12631,30,object
../input/FOIA Updated CPD Data-2008-2012.xls-2012,salary.csv,Start.Date,12529,286,datetime64[ns]
../input/FOIA Updated CPD Data-2008-2012.xls-2012,salary.csv,SPP.Date,9983,279,datetime64[ns]
../input/FOIA Updated CPD Data-2008-2012.xls-2012,salary.csv,Org.Hire.Date,12631,647,datetime64[ns]
../input/FOIA Updated CPD Data-2008-2012.xls-2012,salary.csv,Salary,12631,42,int64
../input/FOIA Updated CPD Data-2008-2012.xls-2012,salary.csv,Pay.Grade,12631,13,object
../input/FOIA Updated CPD Data-2008-2012.xls-2012,salary.csv,Employee.Status,12631,5,object
