CRID,Gender,Age,Race
1000518,F,65.84657534246575,BLACK
1000520,F,60.25753424657534,BLACK
1000521,F,41.35068493150685,BLACK
1000522,M,27.654794520547945,BLACK
1000523,F,47.24931506849315,WHITE
1000524,F,49.19178082191781,WHITE HISPANIC
1000525,F,72.28219178082192,BLACK
1000526,M,58.42191780821918,BLACK
1000527,F,44.676712328767124,BLACK
1000528,M,56.21917808219178,WHITE
1000530,M,58.23561643835617,BLACK
1000531,F,35.78904109589041,WHITE
1000532,F,59.74520547945205,WHITE
1000533,F,32.41917808219178,BLACK
1000536,F,54.25205479452055,BLACK
1000537,F,50.3013698630137,BLACK
1000538,F,37.32054794520548,BLACK
1000539,M,31.06027397260274,UNKNOWN
1000540,F,48.18082191780822,BLACK
1000545,F,67.04657534246576,BLACK
1000546,M,42.39178082191781,BLACK
1000547,M,65.72876712328767,WHITE
1000548,F,57.02191780821918,BLACK
1000549,M,82.92876712328767,WHITE
1000550,F,55.0054794520548,WHITE
1000551,F,41.94520547945205,BLACK
1000552,F,47.24657534246576,BLACK
1000553,F,51.654794520547945,WHITE
1000554,F,57.6986301369863,BLACK
1000555,F,37.32054794520548,BLACK
1000556,M,50.150684931506845,UNKNOWN
1000558,M,31.358904109589037,BLACK
1000559,M,32.24657534246575,WHITE HISPANIC
1000560,F,53.18904109589041,WHITE
1000563,M,27.641095890410963,WHITE
1000565,M,59.35616438356165,BLACK
1000568,M,56.838356164383555,BLACK
1000569,M,62.32054794520548,WHITE
1000571,F,53.07945205479452,BLACK
1000573,M,43.99726027397261,BLACK
1000575,F,34.030136986301365,BLACK
1000577,F,48.97260273972603,BLACK
1000578,M,52.42191780821918,WHITE
1000579,M,52.69315068493151,WHITE
1000579,M,67.2,WHITE
1000580,M,83.37534246575342,WHITE HISPANIC
1000581,F,35.78904109589041,BLACK
1000583,M,59.37534246575343,WHITE
1000584,M,38.99178082191781,BLACK
1000586,F,36.78082191780822,BLACK
1000590,M,43.08767123287671,WHITE
1000591,M,31.761643835616436,BLACK
1000593,F,48.860273972602734,BLACK
1000594,M,46.67945205479452,BLACK
1000596,M,33.53972602739726,BLACK
1000599,M,54.868493150684934,BLACK
1000600,M,46.03835616438356,WHITE
1000601,M,49.282191780821925,BLACK
1000602,M,38.87397260273973,WHITE HISPANIC
1000603,F,43.04657534246576,BLACK
1000605,F,32.43835616438356,BLACK
1000607,F,52.556164383561644,BLACK
1000609,F,40.101369863013694,BLACK
1000610,F,42.99178082191781,BLACK
1000611,M,44.32876712328767,WHITE HISPANIC
1000613,M,65.22191780821917,WHITE
1000614,F,44.68767123287671,BLACK
1000616,M,58.6986301369863,WHITE
1000617,F,42.443835616438356,BLACK
1000619,M,63.915068493150685,WHITE
1000620,F,46.30958904109589,BLACK
1000623,F,94.05205479452056,BLACK
1000624,F,63.2958904109589,WHITE
1000625,M,49.03835616438356,WHITE HISPANIC
1000625,M,54.52328767123287,WHITE HISPANIC
1000626,M,30.92876712328767,BLACK
1000627,M,57.07123287671233,WHITE
1000628,F,48.465753424657535,WHITE
1000629,F,62.18082191780822,BLACK
1000630,M,57.81095890410959,BLACK
1000630,F,51.56986301369863,BLACK
1000631,F,51.32876712328767,BLACK
1000633,M,52.3041095890411,BLACK
1000634,M,32.156164383561645,BLACK
1000635,F,41.16986301369863,BLACK
1000636,M,34.69041095890411,BLACK
1000637,F,33.64931506849315,BLACK
1000638,F,28.243835616438353,BLACK
1000640,M,43.55068493150685,BLACK
1000641,F,52.676712328767124,AMER IND/ALASKAN NATIVE
1000642,F,51.91232876712329,WHITE
1000643,M,29.87945205479452,BLACK
1000646,F,42.37260273972603,BLACK
1000648,F,41.75342465753424,WHITE
1000650,F,33.5945205479452,BLACK
1000651,M,36.6,BLACK
1000651,M,33.704109589041096,BLACK
1000653,F,55.13698630136986,BLACK
1000654,M,34.084931506849315,BLACK
1000655,F,48.602739726027394,BLACK
1000656,M,64.94794520547946,WHITE
1000657,F,42.030136986301365,WHITE
1000659,F,79.95342465753424,BLACK
1000661,M,36.56712328767124,WHITE HISPANIC
1000663,M,53.88767123287671,BLACK
1000664,F,64.44931506849315,BLACK
1000666,F,30.602739726027398,WHITE HISPANIC
1000667,M,28.6,WHITE HISPANIC
1000668,M,40.14246575342466,WHITE
1000671,F,41.73698630136986,BLACK
1000673,F,43.465753424657535,BLACK
1000675,F,45.87123287671233,BLACK
1000677,F,35.07671232876712,WHITE
1000682,M,69.98630136986301,WHITE
1000683,M,33.35342465753425,BLACK
1000684,M,46.389041095890406,BLACK
1000687,F,59.630136986301366,BLACK
1000688,F,31.34246575342466,WHITE
1000689,M,27.246575342465754,BLACK
1000691,M,51.37808219178082,ASIAN/PACIFIC ISLANDER
1000694,F,35.945205479452056,WHITE HISPANIC
1000696,M,40.85753424657534,BLACK
1000697,F,31.44109589041096,BLACK
1000698,F,37.556164383561644,BLACK
1000699,M,53.317808219178076,HISPANIC
1000700,M,41.980821917808214,WHITE
1000702,M,66.06849315068493,WHITE
1000703,F,34.78904109589041,BLACK
1000704,F,66.72054794520548,BLACK
1000705,M,71.94246575342466,HISPANIC
1000705,M,32.16712328767123,WHITE HISPANIC
1000710,F,62.38630136986301,BLACK
1000711,F,40.18630136986301,BLACK
1000712,M,50.11506849315069,BLACK
1000715,M,31.775342465753425,BLACK
1000716,M,31.432876712328767,BLACK
1000717,M,51.52054794520548,BLACK
1000718,F,50.31232876712329,BLACK
1000723,M,43.19178082191781,BLACK
1000725,M,58.23013698630137,WHITE
1000727,M,44.32876712328767,WHITE HISPANIC
1000730,F,40.68767123287672,BLACK
1000732,M,51.87397260273972,WHITE
1000733,F,54.52876712328767,BLACK
1000736,F,64.08767123287672,BLACK
1000738,F,36.515068493150686,BLACK
1000739,F,49.772602739726025,WHITE
1000740,F,65.54794520547945,WHITE
1000741,F,50.31232876712329,BLACK
1000742,M,59.676712328767124,BLACK
1000743,M,57.35616438356165,BLACK
1000744,M,45.45479452054795,BLACK
1000745,F,60.276712328767125,BLACK
1000745,M,61.205479452054796,BLACK
1000746,M,35.81643835616438,BLACK
1000747,F,42.26301369863014,BLACK
1000751,F,51.446575342465756,BLACK
1000752,M,37.56164383561644,BLACK
1000753,F,44.630136986301366,BLACK
1000754,M,59.95616438356164,WHITE
1000757,M,63.62465753424657,BLACK
1000758,F,46.24657534246576,BLACK
1000759,F,60.91780821917808,WHITE
1000765,M,63.898630136986306,HISPANIC
1000766,F,40.84109589041096,BLACK
1000767,M,72.93424657534247,WHITE
1000770,F,59.0,BLACK
1000770,F,40.61369863013699,BLACK
1000771,M,51.76986301369863,BLACK
1000773,F,49.139726027397266,BLACK
1000774,F,37.21095890410959,BLACK
1000775,M,34.07671232876712,BLACK
1000776,F,37.12876712328767,BLACK
1000777,M,38.654794520547945,BLACK HISPANIC
1000778,M,54.221917808219175,BLACK
1000779,F,31.682191780821917,WHITE
1000780,F,39.04931506849315,BLACK
1000781,M,42.0958904109589,BLACK
1000782,M,51.88767123287671,BLACK
1000783,F,47.06301369863014,BLACK
1000785,M,54.18356164383562,BLACK
1000786,F,46.23013698630137,WHITE HISPANIC
1000787,F,28.013698630136986,BLACK
1000788,F,54.66849315068494,WHITE
1000790,F,46.205479452054796,BLACK
1000791,M,51.87397260273972,WHITE
1000793,F,51.947945205479456,BLACK
1000794,M,58.964383561643835,BLACK
1000796,F,29.158904109589038,BLACK
1000797,F,43.54794520547946,BLACK
1000798,F,37.153424657534245,WHITE HISPANIC
1000800,F,45.68767123287671,BLACK
1000801,F,49.6,WHITE
1000802,F,51.75068493150685,BLACK
1000803,M,54.942465753424656,ASIAN/PACIFIC ISLANDER
1000804,M,30.07945205479452,BLACK
1000806,F,38.87123287671233,BLACK
1000808,M,43.95342465753424,BLACK
1000809,M,34.33150684931507,BLACK
1000810,F,54.82465753424657,BLACK
1000812,M,43.2958904109589,BLACK
1000814,F,76.42191780821918,BLACK
1000817,M,45.8054794520548,BLACK
1000818,F,35.62739726027397,BLACK
1000819,F,33.64931506849315,BLACK
1000823,M,32.86027397260274,WHITE HISPANIC
1000824,M,43.19178082191781,BLACK
1000829,M,49.221917808219175,BLACK HISPANIC
1000830,M,53.81369863013699,BLACK
1000831,M,47.227397260273975,WHITE HISPANIC
1000832,F,43.56438356164384,BLACK
1000836,M,37.30684931506849,WHITE HISPANIC
1000839,M,45.56438356164384,BLACK
1000840,M,55.4958904109589,WHITE
1000842,M,54.821917808219176,BLACK
1000844,M,38.83013698630137,BLACK
1000846,M,53.81369863013699,BLACK
1000847,M,68.41095890410959,WHITE
1000849,F,46.88493150684931,BLACK
1000850,F,55.73424657534247,WHITE HISPANIC
1000851,M,33.16164383561644,WHITE HISPANIC
1000851,M,42.43561643835616,WHITE HISPANIC
1000853,F,34.33972602739726,WHITE HISPANIC
1000854,F,30.358904109589037,WHITE HISPANIC
1000856,F,64.6027397260274,BLACK
1000857,F,36.443835616438356,BLACK
1000858,F,49.71506849315068,WHITE
1000859,F,61.13698630136986,BLACK
1000860,M,28.602739726027398,WHITE
1000860,F,80.06027397260273,WHITE
1000861,M,50.2958904109589,BLACK
1000862,M,29.769863013698632,WHITE HISPANIC
1000863,M,56.364383561643834,BLACK
1000864,F,67.84931506849315,BLACK
1000866,M,43.64109589041096,WHITE
1000867,M,52.11232876712329,BLACK
