CATEGORY,PERS_STAR_NO,PERS_LAST_NME,PERS_FIRST_NME,DESCR
20A,12152,GONZALEZ,ROBERT,POLICE OFFICER
20A,10871,LICHAY,KENNETH,POLICE OFFICER
20A,12813,WOODS,JAMES,POLICE OFFICER
20A,13788,DAHLBERG,JOHN,POLICE OFFICER
20A,10709,HUGHES,GARY,POLICE OFFICER
20A,8763,LITTLE,ELLIS,POLICE OFFICER
20A,14827,HOLLIDAY,DAVID,POLICE OFFICER
20A,4487,COSENTINO,MICHAEL,POLICE OFFICER
20A,14193,HALEEM,MAHMOUD,POLICE OFFICER
20A,19033,WILLIAMS,CRAIG,POLICE OFFICER
20A,10758,CUNNINGHAM,AARON,POLICE OFFICER
20A,9933,MURPHY,BARTHOLOM,POLICE OFFICER
20A,17317,GAETA,JAIME,POLICE OFFICER
20A,15128,GREENWOOD,DAVID,POLICE OFFICER
20A,18287,BARSCH,STEVE,POLICE OFFICER
20A,14832,KRAUSHAAR,JEFFREY,POLICE OFFICER
20A,13318,CAMARILLO,ANDREW,POLICE OFFICER
20A,13644,HELSON,ERIC,POLICE OFFICER
20A,10316,WYSINGER,BERNARD,POLICE OFFICER
20A,4553,GARLINGTON,CONWAY,POLICE OFFICER
20A,3405,BURZINSKI,STEPHEN,POLICE OFFICER
20A,12925,WILLIAMS,DWAYNE,POLICE OFFICER
20A,15139,PLANICA,JOHN,POLICE OFFICER
20A,14047,DOOLIN,WILLIAM,POLICE OFFICER
20A,20169,JOHNSON,WILLIAM,POLICE OFFICER
20A,10398,KILROY,KEVIN,POLICE OFFICER
20A,12598,BOYD,STEPHEN,POLICE OFFICER
20A,3927,SANDOVAL,PAUL,POLICE OFFICER
20A,8843,MENDOZA,MARIO,POLICE OFFICER
20A,8843,MENDOZA,MARIO,POLICE OFFICER
20A,7817,TULLY,MARTIN,POLICE OFFICER
20A,15949,LEE,GEROLD,POLICE OFFICER
20A,12598,BOYD,STEPHEN,POLICE OFFICER
20A,7221,MEROLA,DOMINIC,POLICE OFFICER
20A,3156,GORMAN,THOMAS,POLICE OFFICER
20A,11575,LACKO,ELIAS,POLICE OFFICER
20A,7453,PEREZ,JUAN,POLICE OFFICER
20A,11575,LACKO,ELIAS,POLICE OFFICER
20A,6341,LAUBER,PAUL,POLICE OFFICER
20A,7717,KELYANA,JOHN,POLICE OFFICER
20A,8699,O HARA,MARK,POLICE OFFICER
20A,19271,OSHAUGHNESSY,THOMAS,POLICE OFFICER
20A,9631,MURILLO,VERONICA,POLICE OFFICER
