Complaint_Number,Complainant_Gender,Complainant_Age,Complainant_Race_Desc
1054078,M,63.3534246575342,BLACK
1054079,F,38.441095890411,WHITE HISPANIC
1054080,F,,WHITE
1054081,F,37.9561643835616,WHITE
1054083,F,37.0712328767123,BLACK
1054086,M,45.8328767123288,WHITE
1054087,F,33.2356164383562,BLACK
1054093,M,39.4712328767123,BLACK
1054094,F,26.7315068493151,BLACK
1054098,F,47.5698630136986,WHITE
1054102,F,60.6301369863014,BLACK
1054111,M,26.5890410958904,BLACK
1054114,F,38.7972602739726,BLACK
1054115,M,47.2684931506849,WHITE
1054116,M,25.7671232876712,BLACK
1054120,F,26.4054794520548,WHITE
1054121,M,31.1150684931507,BLACK
1054123,F,38.7315068493151,BLACK
1054125,F,72.7232876712329,BLACK
1054127,F,28.0027397260274,BLACK
1054129,M,39.6849315068493,BLACK
1054130,F,24.041095890411,WHITE HISPANIC
1054133,M,41.5972602739726,BLACK
1054138,M,32.2575342465753,WHITE HISPANIC
1054139,M,26.4246575342466,UNKNOWN
1054140,F,47.5698630136986,WHITE
1054141,M,57.6520547945206,BLACK
1054145,M,27.7205479452055,UNKNOWN
1054146,M,25.0465753424658,WHITE
1054148,F,36.4328767123288,BLACK
1054149,M,34.6602739726027,WHITE HISPANIC
1054152,M,53.6712328767123,BLACK
1054153,M,42.2821917808219,BLACK
1054154,M,24.1095890410959,BLACK
1054157,M,25.9506849315068,WHITE
1054158,M,47.4657534246575,BLACK
1054159,M,30.1835616438356,BLACK
1054161,M,33.6191780821918,WHITE
1054162,M,51.5643835616438,BLACK
1054164,F,27.4246575342466,BLACK
1054166,F,22.9945205479452,BLACK
1054168,M,46.413698630137,ASIAN/PACIFIC ISLANDER
1054169,F,47.5698630136986,WHITE
1054170,M,26.4054794520548,BLACK
1054171,M,41.0767123287671,UNKNOWN
1054171,M,23.9616438356164,UNKNOWN
1054177,M,65.5616438356164,WHITE
1054178,M,,UNKNOWN
1054181,F,27.5424657534247,WHITE HISPANIC
1054182,F,54.2958904109589,WHITE HISPANIC
1054183,F,29.9671232876712,BLACK
1054186,M,28.1150684931507,BLACK
1054187,M,38.3945205479452,BLACK
1054188,F,51.8876712328767,WHITE HISPANIC
1054189,F,39.7917808219178,BLACK
1054190,F,33.8219178082192,BLACK
1054192,M,26.9808219178082,HISPANIC
1054194,M,56.0054794520548,BLACK
1054196,M,31.8657534246575,BLACK
1054197,F,54.2712328767123,WHITE
1054198,F,43.7890410958904,BLACK
1054199,M,52.2465753424658,BLACK
1054200,M,48.0054794520548,BLACK
1054201,F,38.5315068493151,BLACK
1054202,F,39.4630136986301,WHITE HISPANIC
1054203,F,62.5095890410959,BLACK
1054205,M,35.8739726027397,WHITE
1054206,M,31.9835616438356,BLACK
1054207,F,30.1424657534247,WHITE
1054208,M,40.0931506849315,WHITE
1054210,F,28.3232876712329,UNKNOWN
1054214,M,69.0246575342466,ASIAN/PACIFIC ISLANDER
1054217,F,51.9753424657534,BLACK
1054222,M,45.0657534246575,WHITE
1054223,F,53.3945205479452,BLACK
1054224,M,35.8438356164384,BLACK
1054225,F,44.2301369863014,BLACK
1054226,M,26.5068493150685,BLACK
1054227,F,,UNKNOWN
1054231,M,43.5397260273973,BLACK
1054234,M,37.5123287671233,BLACK
1054235,M,34.1972602739726,BLACK
1054236,F,64.0,BLACK
1054237,M,,WHITE HISPANIC
1054238,M,35.427397260274,BLACK
1054241,F,23.1205479452055,BLACK
1054242,M,-952.953424657534,BLACK
1054243,F,35.3972602739726,WHITE HISPANIC
1054245,F,58.5260273972603,BLACK
1054247,M,51.8958904109589,BLACK
1054249,F,33.772602739726,BLACK
1054250,F,,UNKNOWN
1054253,M,39.1479452054795,BLACK
1054254,M,68.5123287671233,UNKNOWN
1054258,M,23.3424657534247,BLACK
1054259,F,61.7205479452055,WHITE HISPANIC
1054262,M,38.2246575342466,WHITE
1054263,M,43.1178082191781,UNKNOWN
1054265,F,37.1917808219178,BLACK
1054267,M,55.372602739726,BLACK
1054268,F,89.9232876712329,BLACK
1054270,M,,BLACK
1054273,F,56.3013698630137,BLACK
1054276,M,29.4328767123288,BLACK
1054288,F,57.8849315068493,WHITE
1054288,F,,BLACK
1054292,M,62.6739726027397,WHITE HISPANIC
1054293,F,39.7095890410959,BLACK
1054294,F,49.1452054794521,WHITE HISPANIC
1054295,F,41.2575342465753,BLACK
1054297,M,64.9397260273973,BLACK
1054298,M,,BLACK
1054302,F,23.8520547945205,BLACK
1054303,M,43.9260273972603,BLACK
1054305,F,64.0931506849315,WHITE
1054306,M,37.1287671232877,BLACK
1054308,M,34.1232876712329,BLACK
1054309,M,40.427397260274,BLACK
1054310,M,22.2082191780822,WHITE
1054311,M,-969.098630136986,BLACK
1054312,F,32.5041095890411,BLACK
1054314,F,30.1150684931507,WHITE HISPANIC
1054315,M,54.5479452054795,BLACK
1054316,F,44.1095890410959,UNKNOWN
1054317,F,33.7945205479452,BLACK
1054318,M,53.0684931506849,WHITE
1054321,F,40.3917808219178,BLACK
1054325,F,70.6904109589041,BLACK
1054326,M,51.0356164383562,HISPANIC
1054329,M,24.8027397260274,BLACK
1054330,M,45.958904109589,WHITE
1054332,M,,BLACK
1054333,F,33.8328767123288,BLACK
1054336,F,61.5095890410959,BLACK
1054340,F,27.8876712328767,WHITE HISPANIC
