CRID,Witness_Gender,Witness_Race
1044939,M,BLACK
1044942,F,BLACK
1044943,M,WHITE
1044945,F,WHITE
1044946,M,WHITE HISPANIC
1044947,F,BLACK
1044948,M,BLACK
1044949,F,BLACK
1044950,M,BLACK
1044951,M,WHITE
1044953,F,WHITE
1044955,M,BLACK
1044956,M,WHITE
1044958,M,ASIAN/PACIFIC ISLANDER
1044959,F,BLACK
1044960,M,BLACK
1044966,F,WHITE HISPANIC
1044975,M,WHITE
1044978,M,WHITE
1044979,M,BLACK
1044981,M,BLACK
1044982,M,BLACK
1044985,F,WHITE HISPANIC
1044986,M,WHITE
1044987,M,WHITE
1044990,M,BLACK
1044991,F,BLACK
1044992,M,WHITE HISPANIC
1044994,M,BLACK
1044995,M,WHITE
1044997,M,BLACK
1045000,F,WHITE
1045002,F,WHITE HISPANIC
1045003,M,BLACK
1045004,F,BLACK
1045006,M,WHITE HISPANIC
1045007,M,BLACK
1045011,M,WHITE
1045012,M,WHITE
1045014,F,BLACK
1045015,M,BLACK
1045016,M,WHITE
1045017,M,WHITE
1045018,M,WHITE
1045019,M,BLACK
1045022,M,WHITE HISPANIC
1045023,M,WHITE
1045024,F,WHITE
1045028,M,BLACK
1045029,F,BLACK
1045031,F,BLACK
1045033,M,WHITE
1045034,M,BLACK
1045038,F,BLACK
1045039,F,BLACK
1045046,F,BLACK
1045048,F,BLACK
1045049,M,BLACK
1045051,F,WHITE HISPANIC
1045052,F,BLACK
1045053,F,BLACK
1045053,F,BLACK
1045055,M,BLACK
1045056,M,WHITE
1045058,M,BLACK
1045060,M,BLACK
1045062,M,WHITE HISPANIC
1045065,M,BLACK
1045068,F,BLACK
1045072,M,WHITE HISPANIC
1045074,F,WHITE
1045075,M,ASIAN/PACIFIC ISLANDER
1045076,F,BLACK
1045079,X,UNKNOWN
1045080,F,WHITE HISPANIC
1045082,M,BLACK
1045083,F,BLACK
1045084,F,BLACK
1045085,M,BLACK
1045086,M,BLACK
1045087,M,BLACK
1045089,F,WHITE
1045091,M,WHITE
1045094,M,BLACK
1045095,F,BLACK
1045097,F,BLACK
1045099,F,WHITE
1045102,F,BLACK
1045104,M,BLACK
1045105,F,ASIAN/PACIFIC ISLANDER
1045106,M,WHITE
1045108,M,BLACK
1045111,F,WHITE
1045112,F,SPANISH (DO NOT USE)
1045113,M,WHITE
1045116,F,WHITE
1045117,F,BLACK
1045120,M,WHITE
1045121,M,BLACK
1045123,M,BLACK
1045126,F,BLACK
1045127,M,BLACK
1045128,F,BLACK
1045130,M,WHITE
1045132,M,BLACK
1045135,M,WHITE HISPANIC
1045139,F,BLACK
1045140,F,WHITE
1045141,M,WHITE
1045143,M,WHITE
1045144,M,WHITE
1045145,M,WHITE
1045146,F,BLACK
1045147,F,BLACK
1045148,F,BLACK
1045150,F,WHITE HISPANIC
1045154,M,BLACK
1045155,M,BLACK
1045161,F,BLACK
1045163,M,BLACK
1045166,F,BLACK
1045167,F,BLACK
1045169,M,WHITE
1045171,F,WHITE
1045173,M,WHITE HISPANIC
1045175,M,BLACK
1045177,M,BLACK
1045178,F,BLACK
1045180,F,BLACK
1045181,M,BLACK
1045182,F,BLACK
1045183,M,BLACK
1045184,F,WHITE
1045189,M,BLACK
1045192,F,WHITE
1045202,F,BLACK
1045203,F,BLACK
1045204,M,BLACK
1045205,F,BLACK
1045206,F,BLACK
1045208,F,WHITE
1045209,M,BLACK
1045213,M,BLACK
1045214,M,WHITE
1045215,F,WHITE
1045216,M,BLACK
1045217,M,WHITE
1045218,M,BLACK
1045221,F,BLACK
1045224,F,WHITE
1045228,F,BLACK
1045229,M,BLACK
1045231,M,WHITE
1045232,M,WHITE HISPANIC
1045233,M,BLACK HISPANIC
1045235,M,BLACK
1045236,F,WHITE
1045237,M,BLACK
1045238,M,WHITE
1045240,F,BLACK
1045242,M,BLACK
1045243,F,BLACK
1045247,M,BLACK
1045248,F,BLACK
1045249,F,WHITE
1045250,F,BLACK
1045251,M,WHITE HISPANIC
1045252,F,BLACK
1045253,F,BLACK
1045254,M,BLACK
1045256,F,BLACK
1045257,M,BLACK
1045260,M,WHITE
1045262,F,BLACK
1045266,F,BLACK
1045268,M,WHITE
1045269,M,BLACK
1045270,M,WHITE
1045272,M,ASIAN/PACIFIC ISLANDER
1045273,M,BLACK
1045274,M,BLACK
1045275,M,BLACK
1045276,M,BLACK
1045277,F,BLACK
1045278,M,BLACK
1045284,M,WHITE
1045285,F,BLACK
1045286,F,BLACK
1045287,F,WHITE
1045288,M,WHITE
1045289,M,BLACK
1045290,M,BLACK
1045291,F,BLACK
1045292,M,WHITE
1045293,F,WHITE
1045295,M,WHITE HISPANIC
1045296,M,BLACK
1045297,F,BLACK
1045298,M,BLACK
1045300,F,BLACK
1045304,F,WHITE
1045305,M,BLACK
1045308,F,BLACK
1045309,F,BLACK
1045312,M,BLACK
1045313,F,WHITE HISPANIC
1045315,M,BLACK
1045316,M,WHITE
1045318,M,BLACK
1045320,M,BLACK
1045325,M,WHITE
1045326,F,WHITE
1045330,F,UNKNOWN
1045331,F,UNKNOWN
1045334,F,WHITE
1045335,M,BLACK
1045336,M,BLACK
1045337,F,BLACK
1045344,M,BLACK
1045345,M,BLACK
1045346,M,WHITE
1045347,M,BLACK
1045353,M,BLACK
1045354,M,BLACK
1045359,F,BLACK
1045361,M,BLACK
1045362,M,BLACK
1045363,F,BLACK
1045364,F,BLACK
1045366,M,AMER IND/ALASKAN NATIVE
1045368,M,BLACK
1045373,M,WHITE
1045374,F,WHITE
1045376,M,WHITE
1045377,F,BLACK
1045378,M,BLACK
1045379,M,WHITE
1045380,F,WHITE
1045380,M,WHITE HISPANIC
1045382,F,WHITE
1045384,F,BLACK
1045386,M,SPANISH (DO NOT USE)
1045386,F,BLACK
1045387,M,BLACK
1045389,F,BLACK
1045391,M,WHITE
1045394,M,BLACK
1045397,M,BLACK
1045398,M,BLACK
1045399,M,BLACK
1045405,M,BLACK
1045406,F,WHITE HISPANIC
1045408,M,WHITE
1045410,M,WHITE HISPANIC
1045411,M,BLACK
1045412,M,BLACK
1045413,M,WHITE
1045416,M,BLACK
1045417,M,WHITE HISPANIC
1045418,M,BLACK
1045419,F,BLACK
1045420,M,WHITE
1045421,M,SPANISH (DO NOT USE)
1045425,F,BLACK
1045426,F,BLACK
1045428,F,BLACK
1045430,F,BLACK
1045431,F,BLACK
1045432,F,WHITE
1045437,M,BLACK
1045438,M,BLACK
1045439,M,WHITE HISPANIC
1045440,M,WHITE
1045444,F,WHITE
1045446,M,BLACK
1045449,M,WHITE
1045450,F,WHITE
1045451,M,WHITE
1045452,F,SPANISH (DO NOT USE)
1045453,M,WHITE
1045454,M,SPANISH (DO NOT USE)
1045456,F,WHITE HISPANIC
1045456,M,WHITE HISPANIC
1045458,M,WHITE
1045459,F,BLACK
1045460,M,BLACK
1045461,F,BLACK
1045463,F,BLACK
1045464,M,WHITE
1045470,F,BLACK
1045472,M,WHITE
1045474,F,BLACK
1045476,F,WHITE HISPANIC
1045477,M,BLACK
1045478,M,BLACK
1045483,M,BLACK
1045485,X,BLACK
1045486,M,WHITE HISPANIC
1045487,F,WHITE
1045489,F,BLACK
1045490,M,BLACK
1045492,F,BLACK
1045493,F,BLACK
1045494,F,BLACK
1045498,F,BLACK
1045504,M,BLACK
1045505,F,BLACK
1045506,M,WHITE
1045507,F,WHITE HISPANIC
1045509,M,BLACK
1045512,M,SPANISH (DO NOT USE)
1045513,F,BLACK
1045515,F,BLACK
1045516,M,WHITE
1045517,M,SPANISH (DO NOT USE)
1045518,F,BLACK
1045519,M,BLACK
1045520,M,WHITE
1045524,F,BLACK
1045525,M,WHITE
1045526,M,WHITE
1045529,M,BLACK
1045531,M,BLACK
1045537,F,WHITE
1045538,M,BLACK
1045539,M,BLACK
1045543,M,WHITE
1045545,F,BLACK
1045547,M,BLACK
1045548,F,BLACK
1045549,F,BLACK
1045550,M,WHITE
1045551,M,BLACK
1045552,F,BLACK
1045553,M,BLACK
1045556,M,BLACK
1045559,M,WHITE
1045560,F,BLACK
1045562,M,WHITE
1045564,M,BLACK
1045565,F,BLACK
1045567,M,WHITE
1045570,F,WHITE
1045571,F,BLACK
1045576,F,WHITE
1045578,M,WHITE
1045580,M,WHITE
1045581,M,BLACK
1045583,F,BLACK
1045585,F,UNKNOWN
1045586,F,WHITE
1045587,F,WHITE
1045588,M,WHITE HISPANIC
1045589,F,BLACK
1045591,M,BLACK
1045596,F,WHITE
1045598,F,BLACK
1045599,F,BLACK
1045601,F,BLACK
1045602,F,UNKNOWN
1045603,M,WHITE
1045605,F,WHITE HISPANIC
1045606,M,BLACK
1045608,F,BLACK
1045609,F,BLACK
1045610,F,WHITE
1045613,F,BLACK
1045614,M,BLACK
1045615,F,BLACK
1045616,F,WHITE
1045617,F,BLACK
1045618,M,BLACK
1045620,M,BLACK
1045623,F,BLACK
1045625,F,BLACK
1045627,M,BLACK
1045628,M,BLACK
1045630,M,BLACK
1045631,M,BLACK
1045632,M,BLACK
1045636,F,BLACK
1045637,M,BLACK
1045638,F,BLACK
1045639,M,BLACK
1045640,M,WHITE
1045641,F,BLACK
1045642,F,BLACK
1045643,M,BLACK
1045645,F,WHITE
1045646,M,BLACK
1045647,M,WHITE
1045652,F,BLACK
1045653,M,BLACK
1045654,M,WHITE
1045655,M,WHITE
1045657,M,BLACK
1045663,M,WHITE HISPANIC
1045665,F,BLACK
1045666,M,WHITE
1045667,F,BLACK
1045669,M,WHITE
1045670,F,BLACK
1045674,M,WHITE
1045676,M,BLACK
1045677,F,BLACK
1045678,M,BLACK
1045680,F,WHITE HISPANIC
1045681,F,WHITE HISPANIC
1045682,F,WHITE HISPANIC
1045683,F,WHITE
1045686,M,BLACK
1045687,M,WHITE HISPANIC
1045688,F,BLACK
1045690,F,BLACK
1045691,M,BLACK
1045692,M,BLACK
1045693,M,BLACK
1045694,M,BLACK
